"station_id","station_name","latitude","longitude","Date","E Coli Concentration ","Enterococcus Bacteria Concentration ","Air Temperature ","Water Temperature ","Turbidity "
"J30","James River at Scottsville",37.797533,-78.49055,2014-06-05 00:00:00,1,NA,25.1,25.5,1.41
"A01","Appomattox River at City Point",37.316523,-77.273569,2014-06-06 00:00:00,14,NA,25.5,25.2,13.1
"C05","Chickahominy at Grapevine Bridge",37.55197,-77.271146,2014-06-12 00:00:00,133,NA,27.5,26,11.9
"M05","Maury River at Ben Salem Wayside",37.753461,-79.392316,2014-06-12 00:00:00,6,NA,24.8,24.1,4.46
"J10","James River at 14th Street",37.530947,-77.431925,2014-06-12 00:00:00,30,NA,23,26,2.88
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-06-12 00:00:00,4,NA,25,26,6.41
"J08","James River at Rocketts Landing",37.518597,-77.416635,2014-06-12 00:00:00,6,NA,24.5,26.5,4.86
"J35","James River at Lynchburg",37.41605,-79.13675,2014-06-12 00:00:00,4,NA,24,25,7.84
"J03","James River at Riverside Beach",37.04682,-76.4991,2014-06-12 00:00:00,0,NA,25,25,8.17
"J30","James River at Scottsville",37.797533,-78.49055,2014-06-12 00:00:00,2,NA,22,25,4.33
"J05","James River at Jamestown Beach",37.2239,-76.788613,2014-06-12 00:00:00,4,NA,25.5,26,12.6
"J40","James River at Buchanan",37.529933,-79.679078,2014-06-12 00:00:00,5,NA,24,23,2.04
"J03","James River at Riverside Beach",37.04682,-76.4991,2014-06-12 00:00:00,1,NA,25,25,8.17
"A01","Appomattox River at City Point",37.316523,-77.273569,2014-06-12 00:00:00,8,NA,24,27,7.23
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-06-12 00:00:00,52,NA,23.5,25.3,28
"J15",NA,37.530947,-77.431925,2014-06-12 00:00:00,15,NA,23.5,26.5,2.09
"J25","James River at Maidens",37.6661,-77.888811,2014-06-12 00:00:00,1,NA,29.5,27,5.67
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-06-19 00:00:00,2,NA,30,27.5,3.86
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-06-19 00:00:00,6,NA,41,31,4.06
"C05","Chickahominy at Grapevine Bridge",37.55197,-77.271146,2014-06-19 00:00:00,3,NA,26,28,9.86
"J10","James River at 14th Street",37.530947,-77.431925,2014-06-19 00:00:00,2,NA,31.5,29.8,3.02
"J15",NA,37.530947,-77.431925,2014-06-19 00:00:00,2,NA,32,29.5,2.61
"J03","James River at Riverside Beach",37.04682,-76.4991,2014-06-19 00:00:00,2,NA,26.5,28,40.3
"J08","James River at Rocketts Landing",37.518597,-77.416635,2014-06-19 00:00:00,4,NA,33,28.5,3.34
"J30","James River at Scottsville",37.797533,-78.49055,2014-06-19 00:00:00,1,NA,29,28,1.89
"M05","Maury River at Ben Salem Wayside",37.753461,-79.392316,2014-06-19 00:00:00,7,NA,30,25,1.47
"J05","James River at Jamestown Beach",37.2239,-76.788613,2014-06-19 00:00:00,0,NA,30,28,13.5
"J25","James River at Maidens",37.6661,-77.888811,2014-06-19 00:00:00,1,NA,29,30,3.12
"A01","Appomattox River at City Point",37.316523,-77.273569,2014-06-19 00:00:00,1,NA,28,31,11.09
"J40","James River at Buchanan",37.529933,-79.679078,2014-06-19 00:00:00,4,NA,28,26,1.39
"J35","James River at Lynchburg",37.41605,-79.13675,2014-06-19 00:00:00,0,NA,32.5,27.5,2.29
"J35","James River at Lynchburg",37.41605,-79.13675,2014-06-24 00:00:00,0,NA,28.5,27,0
"A01","Appomattox River at City Point",37.316523,-77.273569,2014-06-26 00:00:00,2,NA,26,30,11.1
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-06-26 00:00:00,0,NA,28,27,3.46
"J03","James River at Riverside Beach",37.04682,-76.4991,2014-06-26 00:00:00,0,NA,26,27,8.19
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-06-26 00:00:00,1,NA,28,28,3.52
"J10","James River at 14th Street",37.530947,-77.431925,2014-06-26 00:00:00,6,NA,28,27,4.08
"J30","James River at Scottsville",37.797533,-78.49055,2014-06-26 00:00:00,1,NA,29,27,1.53
"J15",NA,37.530947,-77.431925,2014-06-26 00:00:00,7,NA,28,26.5,4.49
"J08","James River at Rocketts Landing",37.518597,-77.416635,2014-06-26 00:00:00,19,NA,28,31,5.12
"J05","James River at Jamestown Beach",37.2239,-76.788613,2014-06-26 00:00:00,2,NA,30,24,17.6
"C05","Chickahominy at Grapevine Bridge",37.55197,-77.271146,2014-06-26 00:00:00,1,NA,22,26,9.34
"J25","James River at Maidens",37.6661,-77.888811,2014-06-26 00:00:00,0,NA,31.5,29,4.21
"J40","James River at Buchanan",37.529933,-79.679078,2014-06-26 00:00:00,10,NA,24.9,25.2,3.34
"M05","Maury River at Ben Salem Wayside",37.753461,-79.392316,2014-06-26 00:00:00,2,NA,30.1,25.8,2.29
"J40","James River at Buchanan",37.529933,-79.679078,2014-07-01 00:00:00,1,NA,33,27,1.34
"A01","Appomattox River at City Point",37.316523,-77.273569,2014-07-01 00:00:00,1,NA,28,29,11.2
"J15",NA,37.530947,-77.431925,2014-07-02 00:00:00,1,NA,33,31,2.68
"J10","James River at 14th Street",37.530947,-77.431925,2014-07-02 00:00:00,2,NA,29,28.5,3.31
"J08","James River at Rocketts Landing",37.518597,-77.416635,2014-07-02 00:00:00,3,NA,30.5,28,3.16
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-07-02 00:00:00,6,NA,32.5,30,4.28
"J25","James River at Maidens",37.6661,-77.888811,2014-07-02 00:00:00,0,NA,30.5,28,3.72
"J30","James River at Scottsville",37.797533,-78.49055,2014-07-02 00:00:00,0,NA,32.5,31,1.99
"C05","Chickahominy at Grapevine Bridge",37.55197,-77.271146,2014-07-03 00:00:00,1,NA,36,34,13.76
"M05","Maury River at Ben Salem Wayside",37.753461,-79.392316,2014-07-03 00:00:00,16,NA,28.5,25,5.9
"J03","James River at Riverside Beach",37.04682,-76.4991,2014-07-03 00:00:00,0,NA,26.5,27.5,34.7
"J05","James River at Jamestown Beach",37.2239,-76.788613,2014-07-03 00:00:00,0,NA,28,27,10.56
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-07-03 00:00:00,72,NA,27.8,30.5,2.78
"J35","James River at Lynchburg",37.41605,-79.13675,2014-07-03 00:00:00,1,NA,29,28.5,2.64
"C05","Chickahominy at Grapevine Bridge",37.55197,-77.271146,2014-07-09 00:00:00,6,NA,26,28,11.41
"A01","Appomattox River at City Point",37.316523,-77.273569,2014-07-10 00:00:00,1,NA,25.1,30.1,9.11
"J35","James River at Lynchburg",37.41605,-79.13675,2014-07-10 00:00:00,0,NA,25,28,1.45
"J15",NA,37.530947,-77.431925,2014-07-10 00:00:00,4,NA,24.8,27,3.16
"J20","James River at Tredegar Beach",37.534353,-77.445372,2014-07-10 00:00:00,3,NA,24.8,28.5,3.26
"J08","James River at Rocketts Landing",37.518597,-77.416635,2014-07-10 00:00:00,5,NA,24,28,3.35
"A03","Appomattox River at Petersburg",37.233842,-77.412567,2014-07-10 00:00:00,26,NA,22.7,27.2,8.25
"J25","James River at Maidens",37.6661,-77.888811,2014-07-10 00:00:00,1,NA,26,28,2.57
"J10","James River at 14th Street",37.530947,-77.431925,2014-07-10 00:00:00,5,NA,25,29,2.74
"M05","Maury River at Ben Salem Wayside",37.753461,-79.392316,2014-07-10 00:00:00,30,NA,29.1,25.8,2.58
"J30","James River at Scottsville",37.797533,-78.49055,2014-07-10 00:00:00,0,NA,24,26,1.73
"J05","James River at Jamestown Beach",37.2239,-76.788613,2014-07-10 00:00:00,5,NA,25,27,9.2
